step,min_ttc
0,50.0
100,12.023308371051828
200,1.0953362342749726
300,0.9454275090091941
400,0.9428195633300833
500,0.9152314491004019
600,0.9734891516785772
700,0.9171791195812783
800,0.9236059541297673
900,0.93493431269421
1000,0.916250104272129
1100,0.9205407827572616
1200,0.946627696060617
1300,0.905100017779921
1400,0.9318209196868994
1500,0.9511582804760425
1600,0.9049312898981956
1700,0.9392501199352651
1800,0.9413504661888039
1900,0.9207345931750542
2000,0.9263264326832511
2100,0.9120851955476414
2200,0.9158935063913729
2300,0.9423545927359439
2400,0.9294194718556624
2500,0.9090501211898889
2600,0.9117596270482461
2700,0.9148303769457307
2800,0.9402274231764554
2900,0.9263504554168923
3000,0.9261328342046999
3100,0.9264080361214271
3200,0.9177937556896392
3300,0.9613174833373979
3400,0.9118859758293363
3500,0.9069276076730269
3600,0.9380663374628734
3700,0.9257929639529219
3800,0.9587971922846414
3900,0.9351955890671277
4000,0.9140569500179805
4100,0.9076899659996321
4200,0.9050265075241863
4300,0.9442889048381623
4400,0.9148667067577216
4500,0.9198989927902701
4600,0.9162012356703333
4700,0.9086623560201086
4800,0.9194564194398024
4900,0.928695053433757
5000,0.9360609741782048
5100,0.927832748379147
5200,0.922372244600032
5300,0.9160233134522192
5400,0.9633586148692205
5500,0.9448341256281811
5600,0.9113938381561681
5700,0.9101382480676193
5800,0.9128588424111397
5900,0.954376106052432
6000,0.9141364752685046
6100,0.9236257339252107
6200,0.9164711200446156
6300,0.9328901493209221
6400,0.9081210770393724
6500,0.9497271434301711
6600,0.9345215960453985
6700,0.9245663612370284
6800,0.9076178253763925
6900,0.9278428686095903
7000,0.9294943567799064
7100,0.9384175344140463
7200,0.9139176244290944
7300,0.9071935252970205
7400,0.9361811023907908
7500,0.943042756885909
7600,0.9168207815685008
7700,0.9166065129388279
7800,0.9068815262524945
7900,0.9306847663616925
8000,0.9137461215004518
8100,0.9379470469344682
8200,0.9148369064917292
8300,0.9176115609634464
8400,0.9393614360366022
8500,0.9580831054845182
8600,0.9584272580705784
8700,0.9094698477608183
8800,0.931102377963532
8900,0.9076842203870992
9000,0.9191755910930808
9100,0.960631581371045
9200,0.9362396822068388
9300,0.9300568916650335
9400,0.9419066913716964
9500,0.9091191186594172
9600,0.957623308969141
9700,0.9393891843035335
9800,0.9455900152637823
9900,0.90517105492937
