step,min_ttc
0,50.0
100,12.023308371051828
200,0.9609487239652444
300,0.9426300115055946
400,0.9178346036925803
500,0.9360524338651895
600,0.9272211122916039
700,0.9071086444836675
800,0.9179567551243429
900,0.9045436605946707
1000,0.9113617790211297
1100,0.9502245975493436
1200,0.9137241607847265
1300,0.9207097191257801
1400,0.9105661901204846
1500,0.9370979377800535
1600,0.9039447694520074
1700,0.9209536584397925
1800,0.9169012778550095
1900,0.9133298167277772
2000,0.934693921215329
2100,0.9062043882166957
2200,0.9357802433159468
2300,0.9100843807045007
2400,0.9326155751754915
2500,0.9209402725335886
2600,0.9276831406681413
2700,0.9175293466977853
2800,0.9240026323482617
2900,0.9607053210099472
3000,0.9059241614683361
3100,0.9293502009609528
3200,0.9041564483785717
3300,0.9219729607420362
3400,0.9435013947080364
3500,0.9137178971814547
3600,0.9494639396935493
3700,0.9223806805552397
3800,0.9383547824564267
3900,0.9085567654352991
4000,0.9640927788809017
4100,0.9086126253396906
4200,0.9228474148409754
4300,0.9451806895084837
4400,0.9038052505943338
4500,0.9295402633418498
4600,0.9167738928099324
4700,0.9094481760985008
4800,0.9501271626043908
4900,0.9162601749049262
5000,0.9522182500631731
5100,0.9185435400493615
5200,0.9250691371800567
5300,0.9043766733438757
5400,0.9190833233507597
5500,0.9336383177834884
5600,0.9181448507054566
5700,0.9346761500955185
5800,0.9055974647260235
5900,0.9267093536833747
6000,0.9535399551501244
6100,0.9120972198387677
6200,0.9320249107471357
6300,0.9214209416406576
6400,0.9182781296565895
6500,0.9311090580557807
6600,0.9160265126822696
6700,0.9603385717861295
6800,0.9165144352550063
6900,0.9527010053529951
7000,0.9091876534771001
7100,0.9371249892586824
7200,0.9032460096219356
7300,0.943840398950142
7400,0.9191894485536735
7500,0.9214565925791576
7600,0.9410128457007572
7700,0.916552081274809
7800,0.9612039471041429
7900,0.9084626902396526
8000,0.9532699481203537
8100,0.919480367413511
8200,0.9428821188118932
8300,0.9093992183023576
8400,0.9354317324826813
8500,0.9053801560627553
8600,0.9270622806374298
8700,0.9037481035468615
8800,0.9396747702686531
8900,0.9097786162268827
9000,0.9251145920809786
9100,0.9291045026630173
9200,0.9188482958692319
9300,0.9540464962153166
9400,0.9281688486451304
9500,0.9498318852683632
9600,0.9067719519582208
9700,0.9345562004726772
9800,0.9086326359943216
9900,0.9262895885053947
