step,min_ttc
0,50.0
100,12.023308371051828
200,1.0953362342749726
300,0.9454275090091941
400,0.9428195633300833
500,0.9152314491004019
600,0.9866619668572145
700,0.9284765142432421
800,0.9348739293829198
900,0.9080015469280541
1000,0.9120686896488172
1100,0.920008233876674
1200,0.9263561492603881
1300,0.9356160908723412
1400,0.9109487726337743
1500,0.9377866834364879
1600,0.914774030248951
1700,0.9405065159356926
1800,0.9489521141377277
1900,0.9186345694852255
2000,0.9170604487608573
2100,0.9153322892928972
2200,0.9293394124244574
2300,0.9221920340866164
2400,0.9181405726537478
2500,0.9403800135406986
2600,0.9470345808837252
2700,0.9167449290908951
2800,0.9254340172412384
2900,0.9126159221599149
3000,0.9362087567378998
3100,0.9161542143143125
3200,0.9092747058409161
3300,0.9309834756253093
3400,0.9190022663290311
3500,0.9237025330242912
3600,0.9309674477262736
3700,0.9193837695164102
3800,0.9382408342484947
3900,0.9051268460801093
4000,0.9188377325497254
4100,0.9213017244499047
4200,0.9104695567350933
4300,0.9471131107318791
4400,0.9269744656779281
4500,0.9287924466455223
4600,0.9417759166009576
4700,0.9088498237457969
4800,0.9158116928397735
4900,0.9473589179959232
5000,0.9321287835210001
5100,0.9431464659217842
5200,0.9191194791676871
5300,0.9353170165760554
5400,0.9407266775919388
5500,0.9263318910927651
5600,0.9229801490759388
5700,0.9176392358431792
5800,0.9227249627446893
5900,0.9214910260414563
6000,0.9105402174843312
6100,0.9417920861521103
6200,0.9233396788332168
6300,0.9191493767755081
6400,0.9245222065568863
6500,0.9135780810200842
6600,0.937695792385286
6700,0.924646863224099
6800,0.9185540454556183
6900,0.9126687305625466
7000,0.9414711725293107
7100,0.9226701730079216
7200,0.9788183690176187
7300,0.9295305081470444
7400,0.9154959245745925
7500,0.9034816986234602
7600,0.9201115150531718
7700,0.9258212213579984
7800,0.9230759417263358
7900,0.9160617354267016
8000,0.9206605078833214
8100,0.9189138501952755
8200,0.9155284691472135
8300,0.9118283076319068
8400,0.908857526727063
8500,0.9180852110897093
8600,0.9195221556311702
8700,0.9364238918603797
8800,0.9126032922192302
8900,0.9186334581948773
9000,0.9436505799365265
9100,0.9458220052932719
9200,0.929924675216162
9300,0.9178730502799668
9400,0.9178802558755346
9500,0.9163484741948515
9600,0.9515468927933085
9700,0.9471529239636788
9800,0.9367127804560894
9900,0.9234556386164041
