step,min_ttc
0,50.0
100,12.023308371051828
200,0.9609487239652444
300,0.9323480542727528
400,0.9335842572869252
500,0.9230654296785326
600,0.956112011010794
700,0.9032468063250267
800,0.9297332999748504
900,0.9059723462309661
1000,0.9228077615068506
1100,0.9122127612298461
1200,0.9333927489452055
1300,0.942286415850289
1400,0.9214486531336464
1500,0.9708388439433356
1600,0.9080183493807275
1700,0.9405121997555608
1800,0.9171320341019574
1900,0.928662376291235
2000,0.9102784627725303
2100,0.9254766334811376
2200,0.9394362257767417
2300,0.9231123123212897
2400,0.9179401647697861
2500,0.9047515872084575
2600,0.9228214223716188
2700,0.908688707799703
2800,0.9288042349341463
2900,0.9049271227218552
3000,0.9283398146123825
3100,0.9349303230933281
3200,0.9226731673831746
3300,0.9514314198516487
3400,0.9091287498096045
3500,0.9447966984221293
3600,0.9030939268312149
3700,0.9224724142704503
3800,0.9098376990335967
3900,0.9218942335992015
4000,0.9485414799407426
4100,0.9105675521821489
4200,0.9703976553416317
4300,0.9157615418142485
4400,0.9548965734414684
4500,0.9145771246176596
4600,0.9361878110872661
4700,0.9084138983492964
4800,0.9285124895804507
4900,0.9187285646762946
5000,0.9337307367784282
5100,0.9255615691676108
5200,0.9156735219796226
5300,0.9457541611275214
5400,0.9233414164364893
5500,0.9655846158674529
5600,0.9136682948107894
5700,0.9326735805036678
5800,0.9105219065996595
5900,0.91389338687622
6000,0.9652134911364892
6100,0.9084850396570673
6200,0.9449381590138615
6300,0.9091218498751633
6400,0.9220460774592681
6500,0.9136487517601398
6600,0.9295558332975168
6700,0.9532556012023637
6800,0.9068983295887932
6900,0.940757967704462
7000,0.9317038785017913
7100,0.9146691371508195
7200,0.9589559050315324
7300,0.9053046772636144
7400,0.917385148337514
7500,0.9599808626818214
7600,0.9145631046086758
7700,0.9154995310211425
7800,1.0061623692363733
7900,0.907389837859648
8000,0.9216766675816642
8100,0.9407811385871042
8200,0.9165236879699122
8300,0.9634469763958778
8400,0.9126099469078284
8500,0.919245177654964
8600,0.9596377690118207
8700,0.928387257188104
8800,0.9207808727723891
8900,0.9393321146265544
9000,0.9152130076048436
9100,0.9134504456658169
9200,0.9398969446149464
9300,0.9564415278698211
9400,0.924428600130835
9500,0.9130936793676843
9600,0.9594728855921876
9700,0.9501773667755761
9800,0.9130485454188378
9900,0.9431395941394706
