step,min_ttc
0,50.0
100,21.666401730145065
200,2.3538314371922016
300,1.0713185634492384
400,0.9156247669746762
500,0.9604296992286698
600,1.0789291640870522
700,0.9229153040826037
800,0.9208289097889998
900,0.9233096585588555
1000,1.0304507607670133
1100,0.9717573838568675
1200,0.9615272781639964
1300,0.9212409419665105
1400,0.9390832757729617
1500,1.0817270768835163
1600,0.9293249575467192
1700,0.9771062558625031
1800,0.9276133748848387
1900,0.9084296625951199
2000,1.105428994105084
2100,1.058258491974518
2200,0.9410658318620436
2300,0.9275624850251077
2400,0.9520812366928946
2500,1.0405525520761716
2600,0.9059569675291993
2700,0.9191963483524912
2800,0.9306951717414044
2900,1.1367923369483444
3000,0.947255118989633
3100,0.9115937069428566
3200,0.9482840734636498
3300,0.9480264102157347
3400,0.9092397800718254
3500,1.0202213627698382
3600,1.0762799667631648
3700,0.9347902115623224
3800,0.9173578067031244
3900,0.7027455216839631
4000,0.9414447272429596
4100,0.9434089708408889
4200,0.9397805436344172
4300,0.918352776460949
4400,1.1003810683116786
4500,0.904207920785759
4600,0.9315813061334589
4700,0.9437801978330448
4800,0.942402010261977
4900,0.9574868112014524
5000,0.9255100780493067
5100,0.9659256654148412
5200,0.9360657888281783
5300,0.9385296472082684
5400,0.9633759682426474
5500,1.0736868663689145
5600,0.9149951659463268
5700,0.9791025928269963
5800,1.0425714246711186
5900,0.9214269004093986
6000,0.9297448686355316
6100,0.9609807813738533
6200,1.0209685217046882
6300,0.9483650491537134
6400,0.9108169200801739
6500,0.9728059051778506
6600,1.036449630694252
6700,0.9161167970834512
6800,0.9078140389321102
6900,0.9266591851172764
7000,0.9222249966631366
7100,1.0101932231119461
7200,0.9304432502697865
7300,0.9426976948162255
7400,0.9363597746443048
7500,0.934550714537873
7600,0.951871674458526
7700,0.9042550438410736
7800,0.9308854282778855
7900,0.9537639998225913
8000,0.9281721262194079
8100,0.9743587901016013
8200,0.9077835749182681
8300,0.9532453005704317
8400,0.9538355752985629
8500,0.9325518725077163
8600,0.9311076339648554
8700,0.938570631358666
8800,0.9205352519627565
8900,0.9469742304747233
9000,0.9418366719411146
9100,0.9142496314481584
9200,0.903635744836859
9300,0.9743578073308696
9400,0.9295625455543994
9500,0.9411539174847555
9600,0.9126430500673941
9700,0.9253700618200863
9800,0.907781396468638
9900,0.9475869391457359
